time,flux,raw,RB,sky,e_flux,upperlimit,instrument,band
3265.452775,3029.610906,3075.472086,-0.304928,16686.652344,28.613576,F,-kepler,kepler
3265.473208,3040.697811,3079.351331,-0.011554,16657.964844,28.600802,F,-kepler,kepler
3265.493642,3038.837881,3067.744508,-0.071248,16628.027344,28.577709,F,-kepler,kepler
3265.514076,3031.914805,3054.603972,0.034464,16608.724609,28.558648,F,-kepler,kepler
3265.534509,3044.53396,3048.073539,0.058319,16601.650391,28.562679,F,-kepler,kepler
3265.554943,3052.411122,3050.384251,0.355582,16577.046875,28.550518,F,-kepler,kepler
3265.575376,3032.105439,3017.435003,0.584034,16563.736328,28.526061,F,-kepler,kepler
3265.616244,3027.894204,3090.662716,1.761314,16519.544922,28.490809,F,-kepler,kepler
3265.636677,3045.122085,3108.789334,1.526741,16494.957031,28.485444,F,-kepler,kepler
3265.657111,3028.746885,3090.263237,2.019829,16480.105469,28.462674,F,-kepler,kepler
3265.677544,3028.545525,3088.241135,1.967995,16469.470703,28.454768,F,-kepler,kepler
3265.697978,3028.021702,3075.74439,2.159848,16453.242188,28.442542,F,-kepler,kepler
3265.718412,3042.434837,3089.671995,1.684225,16438.154297,28.442049,F,-kepler,kepler
3265.759279,3021.27428,3051.285437,2.130089,16404.957031,28.40234,F,-kepler,kepler
3265.779712,3029.698135,3053.877432,1.908187,16381.386719,28.391265,F,-kepler,kepler
3265.800146,3045.590768,3057.760229,2.126214,16372.060547,28.396067,F,-kepler,kepler
3265.82058,3064.220578,3063.032244,1.615358,16278.236328,28.341032,F,-kepler,kepler
3265.861447,3027.570838,3085.49396,1.919111,16264.795898,28.304311,F,-kepler,kepler
3265.88188,3061.067266,3118.528933,0.818296,16276.633789,28.337547,F,-kepler,kepler
3265.902314,3055.874331,3108.790043,1.521467,16266.525391,28.326334,F,-kepler,kepler
3265.943181,2942.789104,3009.076472,4.782686,16298.754883,28.267005,F,-kepler,kepler
3265.963615,3058.769899,3125.073606,0.893026,16217.03125,28.292157,F,-kepler,kepler
3265.984048,3040.501602,3112.075435,0.969241,16158.123047,28.235462,F,-kepler,kepler
3266.004482,3041.987365,3111.383661,1.311102,16127.210938,28.213815,F,-kepler,kepler
3266.024916,3038.279454,3105.446593,1.072894,16127.255859,28.211119,F,-kepler,kepler
3266.045349,3045.75352,3106.413332,1.157869,16109.120117,28.203271,F,-kepler,kepler
3266.065783,3048.433843,3102.590032,1.260421,16093.302734,28.193598,F,-kepler,kepler
3266.086216,3032.060796,3079.565037,1.620667,16085.692383,28.17593,F,-kepler,kepler
3266.10665,3043.190121,3086.529917,1.391869,16069.007812,28.171836,F,-kepler,kepler
3266.127084,3030.496935,3065.152595,0.969078,16065.62793,28.159988,F,-kepler,kepler
3266.147517,3026.864206,3041.116569,1.290568,16055.977539,28.150192,F,-kepler,kepler
3266.167951,3060.936729,3065.998326,1.484675,16039.257812,28.162988,F,-kepler,kepler
3266.188384,3061.118551,3057.086727,1.499791,16022.620117,28.150854,F,-kepler,kepler
3266.208818,3039.882519,3022.934361,1.583461,16023.810547,28.136065,F,-kepler,kepler
3266.229252,3055.725743,3025.447953,1.261606,16005.265625,28.134071,F,-kepler,kepler
3266.249685,3051.735791,3003.281347,1.692324,15987.582031,28.118071,F,-kepler,kepler
3266.270119,3047.838976,2978.199938,0.830832,15977.77832,28.107953,F,-kepler,kepler
3266.290553,3030.273121,2940.017924,1.543565,15960.633789,28.082301,F,-kepler,kepler
3266.310986,3026.750522,2921.861598,1.006594,15954.291016,28.075006,F,-kepler,kepler
