VARLIST:,time,band,flux,e_flux,magnitude,e_magnitude,upperlimit,instrument
OBS:,58117.333720,r,393.14670,24.19265,21.01361,0.06683,F,-CSP
OBS:,58117.341330,i,409.21157,37.31087,20.97013,0.09902,F,-CSP
OBS:,58117.348770,g,302.50797,21.73333,21.29816,0.07802,F,-CSP
OBS:,58118.207510,r,319.72257,49.75605,21.23807,0.16901,F,-CSP
OBS:,58118.215350,i,305.61039,51.61629,21.28708,0.18342,F,-CSP
OBS:,58118.223040,g,246.57219,47.95815,21.52014,0.21123,F,-CSP
OBS:,58119.357050,r,453.94212,93.27642,20.85750,0.22315,F,-CSP
OBS:,58119.364460,i,390.44540,95.61967,21.02110,0.26596,F,-CSP
OBS:,58125.365050,r,417.12487,74.46400,20.94933,0.19387,F,-CSP
OBS:,58126.358610,r,436.54527,38.49106,20.89993,0.09575,F,-CSP
OBS:,58126.366200,i,553.16227,61.10431,20.64287,0.11996,F,-CSP
OBS:,58127.246830,i,503.94979,34.71683,20.74403,0.07481,F,-CSP
OBS:,58127.254400,g,245.43695,20.70775,21.52515,0.09163,F,-CSP
OBS:,58128.218440,r,447.49332,19.91256,20.87303,0.04832,F,-CSP
OBS:,58128.225930,i,458.14318,30.56084,20.84750,0.07244,F,-CSP
OBS:,58128.233630,g,286.99150,18.96708,21.35533,0.07177,F,-CSP
OBS:,58129.355320,r,477.94564,32.93830,20.80155,0.07484,F,-CSP
OBS:,58129.362750,i,558.83101,50.11783,20.63180,0.09740,F,-CSP
OBS:,58130.292820,r,494.35810,23.31506,20.76490,0.05122,F,-CSP
OBS:,58130.300230,i,541.85428,31.75170,20.66529,0.06364,F,-CSP
OBS:,58130.307670,g,338.30115,20.40678,21.17674,0.06551,F,-CSP
OBS:,58131.278210,r,458.06501,43.10965,20.84768,0.10221,F,-CSP
OBS:,58131.286000,i,519.96041,72.87988,20.71007,0.15222,F,-CSP
OBS:,58131.293430,g,310.77124,25.19988,21.26890,0.08806,F,-CSP
OBS:,58132.199690,r,465.92490,28.08438,20.82921,0.06546,F,-CSP
OBS:,58132.207110,i,516.69542,47.92416,20.71691,0.10073,F,-CSP
OBS:,58132.214550,g,334.14738,20.92023,21.19015,0.06799,F,-CSP
OBS:,58139.347600,r,387.02234,33.63414,21.03066,0.09438,F,-CSP
OBS:,58139.355140,i,521.50358,51.59424,20.70686,0.10744,F,-CSP
OBS:,58139.362770,g,165.61246,36.79224,21.95227,0.24126,F,-CSP
OBS:,58142.178990,r,245.50491,21.93134,21.52485,0.09701,F,-CSP
OBS:,58142.186700,i,386.72912,42.85845,21.03148,0.12035,F,-CSP
OBS:,58142.194280,g,115.79012,14.20763,22.34082,0.13325,F,-CSP
OBS:,58143.181530,r,275.32306,24.84241,21.40039,0.09799,F,-CSP
OBS:,58143.189800,i,413.49474,39.48518,20.95883,0.10370,F,-CSP
OBS:,58143.197790,g,112.76536,16.04574,22.36956,0.15453,F,-CSP
OBS:,58144.299280,r,274.67603,28.93695,21.40295,0.11441,F,-CSP
OBS:,58144.306960,i,349.46572,37.82337,21.14149,0.11754,F,-CSP
OBS:,58144.314530,g,103.88471,18.10650,22.45862,0.18928,F,-CSP
OBS:,58157.080380,r,115.90542,29.46504,22.33974,0.27608,F,-CSP
OBS:,58157.088020,i,204.75508,50.26015,21.72191,0.26657,F,-CSP
OBS:,58157.096250,g,55.82154,16.50194,23.13300,0.32104,F,-CSP
